,Species,Genus,Family,Molecule_type,Organism_Name,kingdom,phylum,class,order,family,genus,species,strain
k141_208118_GMOREA0012,Cacepaovirus simiae,Cacepaovirus,Suoliviridae,dsDNA,uncultured phage cr131_1,Viruses,Uroviricota,Caudoviricetes,Crassvirales,Suoliviridae,Cacepaovirus,Cacepaovirus simiae,uncultured phage cr131_1
k141_208134_GMOREA0029,Toutatisvirus toutatis,Toutatisvirus,Unknown,dsDNA,Faecalibacterium phage FP_Toutatis,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Toutatisvirus,Toutatisvirus toutatis,Faecalibacterium phage FP_Toutatis
k141_208191_GMOREA0056,Phitrevirus phi3,Phitrevirus,Peduoviridae,dsDNA,Pseudomonas phage phi3,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Peduoviridae,Phitrevirus,Phitrevirus phi3,Pseudomonas phage phi3
k141_208197_GMOREA0012,Cacepaovirus simiae,Cacepaovirus,Suoliviridae,dsDNA,uncultured phage cr131_1,Viruses,Uroviricota,Caudoviricetes,Crassvirales,Suoliviridae,Cacepaovirus,Cacepaovirus simiae,uncultured phage cr131_1
k141_2082_GMOREA0160-DNA,Geobacillus virus E3,Unknown,Unknown,dsDNA,Geobacillus virus E3,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Geobacillus virus E3,unclassified Geobacillus virus E3 subspecies/strain
k141_208326_GMOREA0029,Listeria phage A006,Unknown,Unknown,dsDNA,Listeria phage A006,Na,Na,Na,Na,Na,Na,Na,Na
k141_208483_GMOREA0010,Yongloolinvirus MMP01,Yongloolinvirus,Unknown,dsDNA,Clostridium phage phiMMP01,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Yongloolinvirus,Yongloolinvirus MMP01,Clostridium phage phiMMP01
k141_20850_GMOREA0160-DNA,Juiceboxvirus juicebox,Unknown,Unknown,dsDNA,Corynebacterium phage Juicebox,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Juiceboxvirus juicebox,Corynebacterium phage Juicebox
k141_208526_GMOREA0029,Pagevirus pascal,Unknown,Unknown,dsDNA,Bacillus phage Pascal,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Thermus phage phi OH2,unclassified Thermus phage phi OH2 subspecies/strain
k141_20859_GMOREA0052-DNA,Lightbulbvirus Cba41,Lightbulbvirus,Unknown,dsDNA,Cellulophaga phage phi4:1,Na,Na,Na,Na,Na,Na,Na,Na
