,Species,Genus,Family,Molecule_type,Organism_Name,kingdom,phylum,class,order,family,genus,species,strain
k141_4794_GMOREA0061-DNA,Clostridium phage phiCT453A,Unknown,Unknown,dsDNA,Clostridium phage phiCT453A,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Clostridium phage phiCT453A,unclassified Clostridium phage phiCT453A subspecies/strain
k141_47961_GMOREA0027,Lactobacillus phage phiPYB5,Unknown,Unknown,dsDNA,Lactobacillus phage phiPYB5,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Lactobacillus phage phiPYB5,unclassified Lactobacillus phage phiPYB5 subspecies/strain
k141_47966_GMOREA0117-DNA,Streptococcus phage 315.1,Unknown,Unknown,dsDNA,Streptococcus phage 315.1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Phifelvirus,Phifelvirus FL2,Enterococcus phage phiFL2A
k141_48013_GMOREA0168-DNA,Fletchervirus NCTC12673,Fletchervirus,Unknown,dsDNA,Campylobacter phage PC14,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Fletchervirus,Fletchervirus NCTC12673,Campylobacter phage PC14
k141_4801_GMOREA0113-DNA,Cuauhtlivirus mEpX1,Cuauhtlivirus,Unknown,dsDNA,Escherichia phage mEpX1,Na,Na,Na,Na,Na,Na,Na,Na
k141_48022_GMOREA0067-DNA,Samwavirus dina,Samwavirus,Unknown,dsDNA,Corynebacterium phage Dina,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Samwavirus,Samwavirus dina,Corynebacterium phage Dina
k141_48022_GMOREA0115-DNA,Leicestervirus CD146,Leicestervirus,Unknown,dsDNA,Clostridium phage phiCD146,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Lughvirus,Lughvirus lugh,Faecalibacterium phage FP_Lugh
k141_48028_GMOREA0160-DNA,Lubbockvirus CDHM19,Lubbockvirus,Unknown,dsDNA,Clostridium phage phiCDHM19,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Lubbockvirus,Lubbockvirus CDHM19,Clostridium phage phiCDHM19
k141_48039_GMOREA0070-DNA,Clostridium phage phiCT9441A,Unknown,Unknown,dsDNA,Clostridium phage phiCT9441A,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Clostridium phage phiCT9441A,unclassified Clostridium phage phiCT9441A subspecies/strain
k141_48063_GMOREA0124-DNA,Bracchivirus U2F1,Bracchivirus,Peduoviridae,dsDNA,Uncultured Caudovirales phage clone 2F_1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Peduoviridae,Bracchivirus,Bracchivirus U2F1,Uncultured Caudovirales phage clone 2F_1
k141_48071_GMOREA0052-DNA,Taranisvirus taranis,Taranisvirus,Unknown,dsDNA,Faecalibacterium phage FP_Taranis,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Taranisvirus,Taranisvirus taranis,Faecalibacterium phage FP_Taranis
k141_48074_GMOREA0011,Pseudomonas phage Ps59,Unknown,Unknown,dsDNA,Pseudomonas phage Ps59,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Pseudomonas phage Ps59,unclassified Pseudomonas phage Ps59 subspecies/strain
k141_48087_GMOREA0011,Clostridium phage CI55P1,Unknown,Unknown,dsDNA,Clostridium phage CI55P1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Clostridium phage CI461P1,unclassified Clostridium phage CI461P1 subspecies/strain
k141_48101_GMOREA0173-DNA,Yersinia phage phiR1-37,Unknown,Unknown,dsDNA,Yersinia phage phiR1-37,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Yersinia phage phiR1-37,unclassified Yersinia phage phiR1-37 subspecies/strain
k141_48114_GMOREA0094-DNA,Fernvirus BN12,Fernvirus,Unknown,dsDNA,Paenibacillus phage BN12,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Fernvirus,Fernvirus BN12,Paenibacillus phage BN12
k141_48117_GMOREA0160-DNA,Samwavirus StAB,Unknown,Unknown,dsDNA,Corynebacterium phage StAB,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Samwavirus,Samwavirus StAB,Corynebacterium phage StAB
k141_48135_GMOREA0115-DNA,Lubbockvirus CDHM19,Lubbockvirus,Unknown,dsDNA,Clostridium phage phiCDHM19,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Lubbockvirus,Lubbockvirus CDHM19,Clostridium phage phiCDHM19
k141_48170_GMOREA0067-DNA,Clostridium phage phiCT453A,Unknown,Unknown,dsDNA,Clostridium phage phiCT453A,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Clostridium phage phiCT453A,unclassified Clostridium phage phiCT453A subspecies/strain
k141_48171_GMOREA0067-DNA,Clostridium phage c-st,Unknown,Unknown,dsDNA,Clostridium phage c-st,Na,Na,Na,Na,Na,Na,Na,Na
k141_48172_GMOREA0061-DNA,Sawaravirus WGPS2,Sawaravirus,Unknown,dsDNA,Stx2-converting phage Stx2a_WGPS2,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Sawaravirus,Sawaravirus WGPS2,Stx2-converting phage Stx2a_WGPS2
k141_4818_GMOREA0113-DNA,Clostridium phage phiCT19406B,Unknown,Unknown,dsDNA,Clostridium phage phiCT19406B,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Clostridium phage phiCT19406B,unclassified Clostridium phage phiCT19406B subspecies/strain
k141_48216_GMOREA0006,Clostridium phage phiCT453A,Unknown,Unknown,dsDNA,Clostridium phage phiCT453A,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Clostridium phage phiCT453A,unclassified Clostridium phage phiCT453A subspecies/strain
k141_48222_GMOREA0134-DNA,Listeria phage vB_LmoS_188,Unknown,Unknown,dsDNA,Listeria phage vB_LmoS_188,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Listeria phage vB_LmoS_188,unclassified Listeria phage vB_LmoS_188 subspecies/strain
k141_48257_GMOREA0103-DNA,Bacillus phage BalMu-1,Unknown,Unknown,dsDNA,Bacillus phage BalMu-1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Bacillus phage BalMu-1,unclassified Bacillus phage BalMu-1 subspecies/strain
k141_48263_GMOREA0172-DNA,Pectobacterium phage ZF40,Unknown,Unknown,dsDNA,Pectobacterium phage ZF40,Na,Na,Na,Na,Na,Na,Na,Na
k141_48285_GMOREA0109-DNA,Streptococcus phage P9,Unknown,Unknown,dsDNA,Streptococcus phage P9,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Streptococcus phage P9,unclassified Streptococcus phage P9 subspecies/strain
k141_48295_GMOREA0029,Phitrevirus phi3,Phitrevirus,Peduoviridae,dsDNA,Pseudomonas phage phi3,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Peduoviridae,Phitrevirus,Phitrevirus phi3,Pseudomonas phage phi3
k141_48309_GMOREA0029,Clostridium phage phiCP39-O,Unknown,Unknown,dsDNA,Clostridium phage phiCP39-O,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Clostridium phage phiCP39-O,unclassified Clostridium phage phiCP39-O subspecies/strain
k141_4830_GMOREA0011,Jimmervirus jimmer,Unknown,Unknown,dsDNA,Brevibacillus phage Jimmer2,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Jimmervirus jimmer,Brevibacillus phage Jimmer2
k141_48317_GMOREA0094-DNA,Arawnvirus arawn,Arawnvirus,Unknown,dsDNA,Butyrivibrio phage Arawn,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Arawnvirus,Arawnvirus arawn,Butyrivibrio phage Arawn
k141_48333_GMOREA0173-DNA,Bembunaquatrovirus BMBtp14,Unknown,Unknown,dsDNA,Bacillus phage vB_BtS_BMBtp14,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Clostridium phage phiCP39-O,unclassified Clostridium phage phiCP39-O subspecies/strain
k141_48354_GMOREA0142-DNA,Toutatisvirus toutatis,Toutatisvirus,Unknown,dsDNA,Faecalibacterium phage FP_Toutatis,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Toutatisvirus,Toutatisvirus toutatis,Faecalibacterium phage FP_Toutatis
k141_48357_GMOREA0006,Phapecoctavirus Ro121c4YLVW,Phapecoctavirus,Unknown,dsDNA,Escherichia phage vB_EcoM-Ro121c4YLVW,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Phapecoctavirus,Phapecoctavirus Ro121c4YLVW,Escherichia phage vB_EcoM-Ro121c4YLVW
k141_4835_GMOREA0048-DNA,Taranisvirus taranis,Taranisvirus,Unknown,dsDNA,Faecalibacterium phage FP_Taranis,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Taranisvirus,Taranisvirus taranis,Faecalibacterium phage FP_Taranis
k141_48364_GMOREA0160-DNA,Geobacillus virus E3,Unknown,Unknown,dsDNA,Geobacillus virus E3,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Geobacillus virus E3,unclassified Geobacillus virus E3 subspecies/strain
k141_48377_GMOREA0011,Lentavirus PMBT5,Unknown,Unknown,dsDNA,Eggerthella phage PMBT5,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Lentavirus PMBT5,Eggerthella phage PMBT5
k141_48393_GMOREA0067-DNA,Aurodevirus intestinalis,Aurodevirus,Suoliviridae,dsDNA,uncultured phage cr114_1,Viruses,Uroviricota,Caudoviricetes,Crassvirales,Suoliviridae,Aurodevirus,Aurodevirus intestinalis,uncultured phage cr114_1
k141_4839_GMOREA0134-DNA,Bracchivirus U2F1,Bracchivirus,Peduoviridae,dsDNA,Uncultured Caudovirales phage clone 2F_1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Peduoviridae,Bracchivirus,Bracchivirus U2F1,Uncultured Caudovirales phage clone 2F_1
k141_4839_GMOREA0171-DNA,Bacillus phage vB_BsuS_PJN02,Unknown,Unknown,dsDNA,Bacillus phage vB_BsuS_PJN02,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Mannheimia phage vB_MhS_535AP2,unclassified Mannheimia phage vB_MhS_535AP2 subspecies/strain
k141_48419_GMOREA0050-DNA,Pseudotevenvirus RB43,Pseudotevenvirus,Straboviridae,dsDNA,Escherichia phage RB43,Na,Na,Na,Na,Na,Na,Na,Na
k141_48429_GMOREA0094-DNA,Svunavirus sv1,Svunavirus,Unknown,dsDNA,Bacillus phage 1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Svunavirus,Svunavirus sv1,Bacillus phage 1
k141_48430_GMOREA0050-DNA,Brigitvirus brigit,Brigitvirus,Unknown,dsDNA,Faecalibacterium phage FP_Brigit,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Brigitvirus,Brigitvirus brigit,Faecalibacterium phage FP_Brigit
k141_48460_GMOREA0050-DNA,Colneyvirus CD27,Unknown,Unknown,dsDNA,Clostridioides phage phiCD27,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Colneyvirus CD27,Clostridioides phage phiCD27
k141_48461_GMOREA0160-DNA,Clostridium phage phiCT453A,Unknown,Unknown,dsDNA,Clostridium phage phiCT453A,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Clostridium phage phiCT453A,unclassified Clostridium phage phiCT453A subspecies/strain
k141_48468_GMOREA0172-DNA,Clostridium phage phiCP39-O,Unknown,Unknown,dsDNA,Clostridium phage phiCP39-O,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Clostridium phage phiCP39-O,unclassified Clostridium phage phiCP39-O subspecies/strain
k141_48488_GMOREA0094-DNA,Skunavirus sv10W18,Skunavirus,Unknown,dsDNA,Lactococcus phage 10W18,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Skunavirus,Skunavirus sv10W18,Lactococcus phage 10W18
k141_4848_GMOREA0178-DNA,Bacillus phage Fah,Wbetavirus,Unknown,dsDNA,Bacillus phage Fah,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Wbetavirus,Bacillus phage Fah,unclassified Bacillus phage Fah subspecies/strain
k141_484_GMOREA0052-DNA,Abouovirus abouo,Abouovirus,Unknown,dsDNA,Brevibacillus phage Abouo,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Abouovirus,Abouovirus abouo,Brevibacillus phage Abouo
k141_48507_GMOREA0097-DNA,Schiekvirus EFP01,Schiekvirus,Herelleviridae,dsDNA,Enterococcus phage EFP01,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Noxifervirus,Noxifervirus noxifer,Pseudomonas phage Noxifer
k141_48508_GMOREA0160-DNA,Webervirus IMGroot,Webervirus,Drexlerviridae,dsDNA,Klebsiella phage vB_KpnS_IMGroot,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Drexlerviridae,Webervirus,Webervirus IMGroot,Klebsiella phage vB_KpnS_IMGroot
k141_48511_GMOREA0160-DNA,Leicestervirus CD111,Leicestervirus,Unknown,dsDNA,Clostridium phage phiCD111,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Leicestervirus,Leicestervirus CD111,Clostridium phage phiCD111
k141_48535_GMOREA0027,Lagaffevirus lagaffe,Lagaffevirus,Unknown,dsDNA,Faecalibacterium phage FP_Lagaffe,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Lagaffevirus,Lagaffevirus lagaffe,Faecalibacterium phage FP_Lagaffe
k141_48536_GMOREA0113-DNA,Lambdavirus lvO276,Lambdavirus,Unknown,dsDNA,Enterobacteria phage O276,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Lambdavirus,Lambdavirus lvO276,Enterobacteria phage O276
k141_48541_GMOREA0004,Kehishuvirus splanchnicus,Kehishuvirus,Unknown,dsDNA,uncultured phage cr112_1,Viruses,Uroviricota,Caudoviricetes,Crassvirales,Steigviridae,Kehishuvirus,Kehishuvirus splanchnicus,uncultured phage cr112_1
k141_48556_GMOREA0113-DNA,Bastillevirus CAM003,Bastillevirus,Herelleviridae,dsDNA,Bacillus phage CAM003,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Herelleviridae,Bastillevirus,Bastillevirus CAM003,Bacillus phage CAM003
k141_48561_GMOREA0134-DNA,Leicestervirus CD111,Leicestervirus,Unknown,dsDNA,Clostridium phage phiCD111,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Leicestervirus,Leicestervirus CD111,Clostridium phage phiCD111
k141_48568_GMOREA0044-DNA,Clostridium phage phiCD211,Unknown,Unknown,dsDNA,Clostridium phage phiCD211,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Clostridium phage phiCD211,unclassified Clostridium phage phiCD211 subspecies/strain
k141_4856_GMOREA0171-DNA,Toutatisvirus toutatis,Toutatisvirus,Unknown,dsDNA,Faecalibacterium phage FP_Toutatis,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Toutatisvirus,Toutatisvirus toutatis,Faecalibacterium phage FP_Toutatis
k141_48582_GMOREA0168-DNA,Phitrevirus phi3,Phitrevirus,Peduoviridae,dsDNA,Pseudomonas phage phi3,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Peduoviridae,Phitrevirus,Phitrevirus phi3,Pseudomonas phage phi3
k141_48594_GMOREA0061-DNA,Xuanwuvirus P884B11,Xuanwuvirus,Peduoviridae,dsDNA,Xuanwuvirus P884B11,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Peduoviridae,Xuanwuvirus,Xuanwuvirus xv503458,Escherichia phage 503458
k141_48598_GMOREA0080-DNA,Bacteroides phage B40-8,Unknown,Unknown,dsDNA,Bacteroides phage B40-8,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Bacteroides phage B40-8,unclassified Bacteroides phage B40-8 subspecies/strain
k141_48601_GMOREA0113-DNA,Thermoanaerobacterium phage THSA-485A,Unknown,Unknown,dsDNA,Thermoanaerobacterium phage THSA-485A,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Thermoanaerobacterium phage THSA-485A,unclassified Thermoanaerobacterium phage THSA-485A subspecies/strain
k141_4860_GMOREA0160-DNA,Bacillus phage phBC6A51,Unknown,Unknown,dsDNA,Bacillus phage phBC6A51,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Bacillus phage phBC6A51,unclassified Bacillus phage phBC6A51 subspecies/strain
k141_48619_GMOREA0134-DNA,Glaedevirus gv2H10,Glaedevirus,Unknown,dsDNA,Escherichia phage 2H10,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Glaedevirus,Glaedevirus gv2H10,Escherichia phage 2H10
k141_48634_GMOREA0050-DNA,Fernvirus P123,Fernvirus,Unknown,dsDNA,Paenibacillus phage phiIBB_P123,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Phietavirus,Phietavirus X2,Staphylococcus phage X2
k141_48644_GMOREA0115-DNA,Dragolirvirus dragolir,Dragolirvirus,Unknown,dsDNA,Paenibacillus phage Dragolir,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Dragolirvirus,Dragolirvirus dragolir,Paenibacillus phage Dragolir
k141_48644_GMOREA0124-DNA,Uetakevirus epsilon15,Uetakevirus,Unknown,dsDNA,Salmonella phage epsilon15,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Uetakevirus,Uetakevirus epsilon15,Salmonella phage epsilon15
k141_48656_GMOREA0050-DNA,Clostridium phage phiCP39-O,Unknown,Unknown,dsDNA,Clostridium phage phiCP39-O,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Clostridium phage phiCP39-O,unclassified Clostridium phage phiCP39-O subspecies/strain
k141_48657_GMOREA0113-DNA,Croceibacter phage P2559S,Unknown,Unknown,dsDNA,Croceibacter phage P2559S,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Croceibacter phage P2559S,unclassified Croceibacter phage P2559S subspecies/strain
k141_48661_GMOREA0113-DNA,Gordonia phage Bunnybear,Nymphadoravirus,Unknown,dsDNA,Gordonia phage Bunnybear,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Nymphadoravirus,Gordonia phage Bunnybear,unclassified Gordonia phage Bunnybear subspecies/strain
k141_48663_GMOREA0113-DNA,Sodalis phage phiSG1,Unknown,Unknown,dsDNA,Sodalis phage phiSG1,Na,Na,Na,Na,Na,Na,Na,Na
k141_48664_GMOREA0115-DNA,Punavirus RCS47,Punavirus,Unknown,dsDNA,Escherichia phage RCS47,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Punavirus,Punavirus RCS47,Escherichia phage RCS47
k141_48676_GMOREA0061-DNA,Phitrevirus phi3,Phitrevirus,Peduoviridae,dsDNA,Pseudomonas phage phi3,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Peduoviridae,Phitrevirus,Phitrevirus phi3,Pseudomonas phage phi3
k141_48698_GMOREA0004,Streptococcus phage EJ-1,Unknown,Unknown,dsDNA,Streptococcus phage EJ-1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Paclarkvirus,Paclarkvirus ARI04684,Streptococcus phage phiARI0468-4
k141_48708_GMOREA0044-DNA,Nonagvirus JenK1,Nonagvirus,Unknown,dsDNA,Enterobacteria phage JenK1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Nonagvirus,Nonagvirus JenK1,Enterobacteria phage JenK1
k141_4870_GMOREA0029,Bacillus phage vB_BanS_Athena,Unknown,Unknown,dsDNA,Bacillus phage vB_BanS_Athena,Na,Na,Na,Na,Na,Na,Na,Na
k141_48715_GMOREA0124-DNA,Wanderervirus wanderer,Wanderervirus,Unknown,dsDNA,Paenibacillus phage Wanderer,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Wanderervirus,Wanderervirus wanderer,Paenibacillus phage Wanderer
k141_48718_GMOREA0124-DNA,Mushuvirus mushu,Mushuvirus,Unknown,dsDNA,Faecalibacterium phage FP_Mushu,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Mushuvirus,Mushuvirus mushu,Faecalibacterium phage FP_Mushu
k141_48720_GMOREA0142-DNA,Gegavirus ST15OXA48phi141,Gegavirus,Peduoviridae,dsDNA,Klebsiella phage ST15-OXA48phi14.1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Peduoviridae,Gegavirus,Gegavirus ST15OXA48phi141,Klebsiella phage ST15-OXA48phi14.1
k141_48738_GMOREA0006,Buchavirus intestinalis,Buchavirus,Suoliviridae,dsDNA,uncultured phage cr105_1,Na,Na,Na,Na,Na,Na,Na,Na
k141_48762_GMOREA0010,Escherichia phage vB_EcoP_SP5M,Gamaleyavirus,Schitoviridae,dsDNA,Escherichia phage vB_EcoP_SP5M,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Schitoviridae,Gamaleyavirus,Escherichia phage vB_EcoP_SP5M,unclassified Escherichia phage vB_EcoP_SP5M subspecies/strain
k141_48775_GMOREA0173-DNA,Chrysochromulina ericina virus,Unknown,Phycodnaviridae,dsDNA,Chrysochromulina ericina virus,Viruses,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,unclassified Phycodnaviridae genus,Chrysochromulina ericina virus,unclassified Chrysochromulina ericina virus subspecies/strain
k141_48779_GMOREA0117-DNA,Toutatisvirus toutatis,Toutatisvirus,Unknown,dsDNA,Faecalibacterium phage FP_Toutatis,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Toutatisvirus,Toutatisvirus toutatis,Faecalibacterium phage FP_Toutatis
k141_48796_GMOREA0103-DNA,Enterogokushovirus EC6098,Enterogokushovirus,Microviridae,ssDNA(+),Escherichia phage EC6098,Viruses,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,unclassified Microviridae genus,Gokushovirinae Bog1183_53,unclassified Gokushovirinae Bog1183_53 subspecies/strain
k141_48812_GMOREA0172-DNA,Salmonella phage SPN3UB,Unknown,Unknown,dsDNA,Salmonella phage SPN3UB,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Salmonella phage SPN3UB,unclassified Salmonella phage SPN3UB subspecies/strain
k141_48818_GMOREA0115-DNA,Pushchinovirus B83,Pushchinovirus,Unknown,dsDNA,Bacillus phage vB_BtS_B83,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Pushchinovirus,Pushchinovirus B83,Bacillus phage vB_BtS_B83
k141_48826_GMOREA0061-DNA,Lineavirus I22,Lineavirus,Inoviridae,ssDNA(+),Lineavirus I22,Viruses,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,Lineavirus,Lineavirus I22,unclassified Lineavirus I22 subspecies/strain
k141_48827_GMOREA0117-DNA,Anayavirus amelie,Anayavirus,Unknown,dsDNA,Mycobacterium phage Amelie,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Yangvirus,Arthrobacter phage Phives,unclassified Arthrobacter phage Phives subspecies/strain
k141_48827_GMOREA0171-DNA,Aeromonas phage vB_AsaM_LPM4,Unknown,Unknown,dsDNA,Aeromonas phage vB_AsaM_LPM4,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Aeromonas phage vB_AsaM_LPM4,unclassified Aeromonas phage vB_AsaM_LPM4 subspecies/strain
k141_48845_GMOREA0070-DNA,Thalassavirus thalassa,Thalassavirus,Phycodnaviridae,dsDNA,Vibrio phage Thalassa,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Demerecviridae,Thalassavirus,Thalassavirus thalassa,Vibrio phage Thalassa
k141_48851_GMOREA0011,Clostridium phage phiCT453B,Unknown,Unknown,dsDNA,Clostridium phage phiCT453B,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Clostridium phage phiCT453B,unclassified Clostridium phage phiCT453B subspecies/strain
k141_48857_GMOREA0171-DNA,Arthrobacter phage Seahorse,Unknown,Unknown,dsDNA,Arthrobacter phage Seahorse,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Arthrobacter phage Seahorse,unclassified Arthrobacter phage Seahorse subspecies/strain
k141_48876_GMOREA0171-DNA,Wanderervirus wanderer,Wanderervirus,Unknown,dsDNA,Paenibacillus phage Wanderer,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Wanderervirus,Wanderervirus wanderer,Paenibacillus phage Wanderer
